1,500,245,0.49
2,500,261,0.522
3,500,263,0.526
4,500,232,0.464
5,500,246,0.492
6,500,256,0.512
7,500,256,0.512
8,500,238,0.476
9,500,274,0.548
10,500,259,0.518
11,500,248,0.496
12,500,250,0.5
13,500,257,0.514
14,500,272,0.544
15,500,251,0.502
16,500,242,0.484
17,500,254,0.508
18,500,245,0.49
19,500,238,0.476
20,500,282,0.564
21,500,245,0.49
22,500,240,0.48
23,500,248,0.496
24,500,241,0.482
25,500,252,0.504
26,500,247,0.494
27,500,234,0.468
28,500,244,0.488
29,500,261,0.522
30,500,259,0.518
31,500,251,0.502
32,500,240,0.48
33,500,250,0.5
34,500,236,0.472
35,500,259,0.518
36,500,244,0.488
37,500,247,0.494
38,500,236,0.472
39,500,235,0.47
40,500,255,0.51
41,500,264,0.528
42,500,266,0.532
43,500,238,0.476
44,500,270,0.54
45,500,261,0.522
46,500,278,0.556
47,500,239,0.478
48,500,239,0.478
49,500,245,0.49
50,500,251,0.502
51,500,257,0.514
52,500,252,0.504
53,500,228,0.456
54,500,235,0.47
55,500,247,0.494
1,50,28,0.56
2,50,26,0.52
3,50,25,0.5
4,50,27,0.54
5,50,28,0.56
6,50,23,0.46
7,50,19,0.38
8,50,21,0.42
9,50,22,0.44
10,50,22,0.44
11,50,19,0.38
12,50,23,0.46
13,50,24,0.48
14,50,22,0.44
15,50,19,0.38
16,50,18,0.36
17,50,22,0.44
18,50,28,0.56
19,50,28,0.56
20,50,25,0.5
21,50,21,0.42
22,50,21,0.42
23,50,26,0.52
24,50,19,0.38
25,50,24,0.48
26,50,27,0.54
27,50,23,0.46
28,50,26,0.52
29,50,31,0.62
30,50,23,0.46
31,50,27,0.54
32,50,31,0.62
33,50,24,0.48
34,50,26,0.52
35,50,31,0.62
36,50,23,0.46
37,50,30,0.6
38,50,27,0.54
39,50,21,0.42
40,50,24,0.48
41,50,30,0.6
42,50,23,0.46
43,50,22,0.44
44,50,26,0.52
45,50,22,0.44
46,50,22,0.44
47,50,30,0.6
48,50,23,0.46
49,50,31,0.62
50,50,32,0.64
51,50,24,0.48
52,50,25,0.5
53,50,29,0.58
54,50,19,0.38
55,50,21,0.42
56,50,27,0.54
57,50,25,0.5
58,50,20,0.4
59,50,22,0.44
60,50,24,0.48
61,50,24,0.48
62,50,20,0.4
63,50,22,0.44
64,50,25,0.5
65,50,26,0.52
66,50,21,0.42
67,50,26,0.52
68,50,25,0.5
69,50,24,0.48
70,50,28,0.56
71,50,23,0.46
72,50,29,0.58
73,50,28,0.56
74,50,21,0.42
75,50,22,0.44
76,50,23,0.46
77,50,28,0.56
78,50,23,0.46
79,50,22,0.44
80,50,25,0.5
81,50,23,0.46
82,50,24,0.48
83,50,21,0.42
84,50,22,0.44
85,50,28,0.56
86,50,21,0.42
87,50,30,0.6
88,50,24,0.48
89,50,22,0.44
90,50,21,0.42
91,50,23,0.46
92,50,24,0.48
93,50,28,0.56
94,50,32,0.64
95,50,24,0.48
96,50,29,0.58
97,50,28,0.56
98,50,31,0.62
99,50,24,0.48
100,50,27,0.54
101,50,29,0.58
102,50,25,0.5
103,50,31,0.62
104,50,30,0.6
105,50,31,0.62
106,50,19,0.38
107,50,22,0.44
108,50,29,0.58
109,50,29,0.58
110,50,28,0.56
111,50,27,0.54
112,50,24,0.48
113,50,26,0.52
114,50,26,0.52
115,50,24,0.48
116,50,30,0.6
117,50,25,0.5
118,50,31,0.62
119,50,28,0.56
120,50,23,0.46
121,50,29,0.58
122,50,32,0.64
123,50,27,0.54
124,50,26,0.52
125,50,30,0.6
126,50,19,0.38
127,50,29,0.58
128,50,21,0.42
129,50,15,0.3
130,50,29,0.58
131,50,24,0.48
132,50,20,0.4
133,50,22,0.44
134,50,27,0.54
